precio,area,habitaciones,banos,latitud,longitud,precio_m2,ciudad,departamento,tipo_propiedad,categoria_tamano,categoria_precio
225000000.0,53.0,3.0,2.0,4.643,-74.14,4245283.018867925,Bogotá D.C,Cundinamarca,Apartamento,Mediana,Media
290000000.0,60.0,2.0,2.0,4.721,-74.029,4833333.333333333,Bogotá D.C,Cundinamarca,Apartamento,Mediana,Media
230000000.0,62.0,3.0,2.0,4.64,-74.128,3709677.419354839,Bogotá D.C,Cundinamarca,Apartamento,Mediana,Media
349900000.0,106.0,3.0,2.0,4.651,-74.064,3300943.396226415,Bogotá D.C,Cundinamarca,Apartamento,Grande,Alta
370000000.0,87.0,3.0,2.0,4.737,-74.04,4252873.563218391,Bogotá D.C,Cundinamarca,Apartamento,Mediana,Alta
570000000.0,115.0,3.0,2.0,4.65,-74.117,4956521.739130435,Bogotá D.C,Cundinamarca,Apartamento,Grande,Alta
290000000.0,80.0,2.0,2.0,11.0,-74.801,3625000.0,Barranquilla,Atlántico,Apartamento,Mediana,Media
287692000.0,81.0,3.0,2.0,11.005,-74.797,3551753.0864197533,Barranquilla,Atlántico,Apartamento,Mediana,Media
287692000.0,81.0,3.0,2.0,11.005,-74.797,3551753.0864197533,Barranquilla,Atlántico,Apartamento,Mediana,Media
750000000.0,175.0,3.0,3.0,3.456,-76.537,4285714.285714285,Cali,Valle Del Cauca,Apartamento,Muy Grande,Premium
1300000000.0,262.0,4.0,3.0,10.398,-75.556,4961832.0610687025,Cartagena,Bolívar,Apartamento,Muy Grande,Premium
670000000.0,118.0,4.0,3.0,4.734,-74.059,5677966.101694915,Bogotá D.C,Cundinamarca,Apartamento,Grande,Premium
400000000.0,94.0,3.0,3.0,4.725,-74.041,4255319.14893617,Bogotá D.C,Cundinamarca,Apartamento,Mediana,Alta
710000000.0,111.0,3.0,3.0,4.756,-74.069,6396396.396396397,Bogotá D.C,Cundinamarca,Apartamento,Grande,Premium
1625000000.0,250.0,3.0,3.0,4.669,-74.045,6500000.0,Bogotá D.C,Cundinamarca,Apartamento,Muy Grande,Premium
1550000000.0,140.0,2.0,3.0,4.67,-74.045,11071428.57142857,Bogotá D.C,Cundinamarca,Apartamento,Grande,Premium
1250000000.0,160.0,3.0,3.0,4.701,-74.029,7812500.0,Bogotá D.C,Cundinamarca,Apartamento,Muy Grande,Premium
360000000.0,92.0,3.0,3.0,4.729,-74.066,3913043.4782608696,Bogotá D.C,Cundinamarca,Apartamento,Mediana,Alta
1395000000.0,460.0,4.0,4.0,3.392,-76.538,3032608.695652174,Cali,Valle Del Cauca,Apartamento,Muy Grande,Premium
1250000000.0,178.0,3.0,4.0,4.708,-74.041,7022471.91011236,Bogotá D.C,Cundinamarca,Apartamento,Muy Grande,Premium
